[Header]
Data File Name	E:\10.10.2022_2022-10-10 Wucherung 1h 50ml$min_01.qgd
Output Date	10.10.2022
Output Time	14:22:58

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	100
# of Points	7032
Start Time(min)	2.000
End Time(min)	13.718
Ret.Time	Absolute Intensity	Relative Intensity
2.460	15520	0.41
2.462	13449	0.35
2.463	11525	0.30
2.465	11830	0.31
2.467	12428	0.33
2.468	12025	0.32
2.470	12582	0.33
2.472	12704	0.33
2.473	11547	0.30
2.475	12357	0.33
2.477	14265	0.38
2.478	14658	0.39
2.480	14726	0.39
2.482	15456	0.41
2.483	15293	0.40
2.485	15792	0.42
2.487	15347	0.40
2.488	16672	0.44
2.490	18796	0.49
2.492	20589	0.54
2.493	22786	0.60
2.495	26434	0.70
2.497	30245	0.80
2.498	32312	0.85
2.500	34066	0.90
2.502	35666	0.94
2.503	36186	0.95
2.505	35498	0.93
2.507	35672	0.94
2.508	37872	1.00
2.510	39503	1.04
2.512	38194	1.00
2.513	35038	0.92
2.515	31927	0.84
2.517	29461	0.77
2.518	28246	0.74
2.520	28194	0.74
2.522	27125	0.71
2.523	25229	0.66
2.525	25091	0.66
2.527	24873	0.65
2.528	22520	0.59
2.530	19968	0.53
2.532	17908	0.47
2.533	17123	0.45
2.535	16993	0.45
2.537	17714	0.47
2.538	18283	0.48
2.540	17220	0.45
2.542	16264	0.43
2.543	17176	0.45
2.545	17253	0.45
2.547	16505	0.43
2.548	16327	0.43
2.550	16469	0.43
2.552	16395	0.43
2.553	16281	0.43
2.555	15786	0.42
2.557	14870	0.39
2.558	14498	0.38
2.560	15414	0.41
2.562	16361	0.43
2.563	18610	0.49
2.565	25060	0.66
2.567	34607	0.91
2.568	46985	1.24
2.570	61818	1.63
2.572	74848	1.97
2.573	83453	2.19
2.575	86410	2.27
2.577	84421	2.22
2.578	77400	2.04
2.580	67321	1.77
2.582	58180	1.53
2.583	51342	1.35
2.585	46540	1.22
2.587	42267	1.11
2.588	36548	0.96
2.590	31976	0.84
2.592	30193	0.79
2.593	28831	0.76
2.595	26547	0.70
2.597	25212	0.66
2.598	24652	0.65
2.600	24170	0.64
2.602	25323	0.67
2.603	27795	0.73
2.605	30005	0.79
2.607	33384	0.88
2.608	37607	0.99
2.610	40522	1.07
2.612	41008	1.08
2.613	40811	1.07
2.615	41466	1.09
2.617	39866	1.05
2.618	35861	0.94
2.620	31116	0.82
2.622	26824	0.71
2.623	23189	0.61
2.625	21236	0.56
2.627	20095	0.53
2.628	19764	0.52
2.630	19213	0.51
2.632	19878	0.52
2.633	20578	0.54
2.635	19698	0.52
2.637	18961	0.50
2.638	19643	0.52
2.640	19925	0.52
2.642	19268	0.51
2.643	19019	0.50
2.645	18199	0.48
2.647	16928	0.45
2.648	16575	0.44
2.650	15606	0.41
2.652	15933	0.42
2.653	17955	0.47
2.655	18396	0.48
2.657	18068	0.48
2.658	18965	0.50
2.660	19064	0.50
2.662	19961	0.52
2.663	22165	0.58
2.665	22802	0.60
2.667	22335	0.59
2.668	22207	0.58
2.670	23015	0.61
2.672	23078	0.61
2.673	23303	0.61
2.675	24029	0.63
2.677	23954	0.63
2.678	23147	0.61
2.680	22315	0.59
2.682	22519	0.59
2.683	22152	0.58
2.685	19653	0.52
2.687	18678	0.49
2.688	18590	0.49
2.690	18977	0.50
2.692	19302	0.51
2.693	19244	0.51
2.695	20261	0.53
2.697	21094	0.55
2.698	20748	0.55
2.700	20143	0.53
2.702	20047	0.53
2.703	20836	0.55
2.705	21401	0.56
2.707	23046	0.61
2.708	25544	0.67
2.710	26191	0.69
2.712	25091	0.66
2.713	25113	0.66
2.715	26335	0.69
2.717	26783	0.70
2.718	25725	0.68
2.720	23809	0.63
2.722	22522	0.59
2.723	22160	0.58
2.725	21853	0.57
2.727	21462	0.56
2.728	19584	0.52
2.730	19712	0.52
2.732	21841	0.57
2.733	22727	0.60
2.735	23203	0.61
2.737	24058	0.63
2.738	23763	0.62
2.740	22038	0.58
2.742	20047	0.53
2.743	19358	0.51
2.745	19080	0.50
2.747	18905	0.50
2.748	19094	0.50
2.750	18580	0.49
2.752	18499	0.49
2.753	18950	0.50
2.755	19058	0.50
2.757	19246	0.51
2.758	20180	0.53
2.760	21765	0.57
2.762	21757	0.57
2.763	21325	0.56
2.765	21004	0.55
2.767	21445	0.56
2.768	22149	0.58
2.770	21610	0.57
2.772	21174	0.56
2.773	21371	0.56
2.775	20583	0.54
2.777	21196	0.56
2.778	21816	0.57
2.780	20914	0.55
2.782	19844	0.52
2.783	18652	0.49
2.785	18154	0.48
2.787	19691	0.52
2.788	20867	0.55
2.790	21681	0.57
2.792	22169	0.58
2.793	20796	0.55
2.795	18851	0.50
2.797	18491	0.49
2.798	19273	0.51
2.800	19293	0.51
2.802	17602	0.46
2.803	16822	0.44
2.805	18620	0.49
2.807	19030	0.50
2.808	17874	0.47
2.810	18139	0.48
2.812	19785	0.52
2.813	20185	0.53
2.815	20781	0.55
2.817	20867	0.55
2.818	20389	0.54
2.820	19705	0.52
2.822	17930	0.47
2.823	18792	0.49
2.825	20465	0.54
2.827	18673	0.49
2.828	16612	0.44
2.830	16766	0.44
2.832	18750	0.49
2.833	20145	0.53
2.835	19626	0.52
2.837	19519	0.51
2.838	20078	0.53
2.840	19074	0.50
2.842	16930	0.45
2.843	16172	0.43
2.845	17312	0.46
2.847	18580	0.49
2.848	19340	0.51
2.850	18770	0.49
2.852	18190	0.48
2.853	19260	0.51
2.855	19349	0.51
2.857	20285	0.53
2.858	20165	0.53
2.860	19649	0.52
2.862	19234	0.51
2.863	18820	0.49
2.865	18389	0.48
2.867	17601	0.46
2.868	17553	0.46
2.870	18578	0.49
2.872	19849	0.52
2.873	19640	0.52
2.875	19031	0.50
2.877	19470	0.51
2.878	19972	0.53
2.880	20273	0.53
2.882	20026	0.53
2.883	21732	0.57
2.885	24188	0.64
2.887	26054	0.69
2.888	27415	0.72
2.890	28163	0.74
2.892	29807	0.78
2.893	29995	0.79
2.895	29325	0.77
2.897	27799	0.73
2.898	25005	0.66
2.900	23195	0.61
2.902	21103	0.56
2.903	18094	0.48
2.905	18072	0.48
2.907	19339	0.51
2.908	19253	0.51
2.910	18855	0.50
2.912	19513	0.51
2.913	18957	0.50
2.915	17198	0.45
2.917	16412	0.43
2.918	16783	0.44
2.920	16500	0.43
2.922	17178	0.45
2.923	18244	0.48
2.925	17339	0.46
2.927	17097	0.45
2.928	18142	0.48
2.930	17371	0.46
2.932	15327	0.40
2.933	14488	0.38
2.935	15592	0.41
2.937	16431	0.43
2.938	15750	0.41
2.940	16284	0.43
2.942	17787	0.47
2.943	18555	0.49
2.945	18304	0.48
2.947	17836	0.47
2.948	16854	0.44
2.950	16094	0.42
2.952	15735	0.41
2.953	15430	0.41
2.955	14629	0.38
2.957	13894	0.37
2.958	15220	0.40
2.960	16895	0.44
2.962	16160	0.43
2.963	15085	0.40
2.965	15996	0.42
2.967	16024	0.42
2.968	14306	0.38
2.970	13894	0.37
2.972	14471	0.38
2.973	14780	0.39
2.975	15769	0.41
2.977	17640	0.46
2.978	18560	0.49
2.980	16996	0.45
2.982	15176	0.40
2.983	15331	0.40
2.985	15740	0.41
2.987	15711	0.41
2.988	15524	0.41
2.990	16487	0.43
2.992	17585	0.46
2.993	17471	0.46
2.995	18259	0.48
2.997	17771	0.47
2.998	16344	0.43
3.000	16251	0.43
3.002	16224	0.43
3.003	15697	0.41
3.005	16612	0.44
3.007	20968	0.55
3.008	24578	0.65
3.010	25497	0.67
3.012	26819	0.71
3.013	28179	0.74
3.015	28726	0.76
3.017	29032	0.76
3.018	27811	0.73
3.020	26959	0.71
3.022	26799	0.70
3.023	24318	0.64
3.025	22051	0.58
3.027	21528	0.57
3.028	21622	0.57
3.030	21750	0.57
3.032	20810	0.55
3.033	20322	0.53
3.035	20377	0.54
3.037	21415	0.56
3.038	20753	0.55
3.040	20432	0.54
3.042	20114	0.53
3.043	22315	0.59
3.045	22413	0.59
3.047	20069	0.53
3.048	18788	0.49
3.050	18472	0.49
3.052	18046	0.47
3.053	17897	0.47
3.055	17791	0.47
3.057	18246	0.48
3.058	19431	0.51
3.060	20154	0.53
3.062	19829	0.52
3.063	20918	0.55
3.065	20893	0.55
3.067	20862	0.55
3.068	20496	0.54
3.070	20665	0.54
3.072	20730	0.55
3.073	19770	0.52
3.075	19457	0.51
3.077	19785	0.52
3.078	18785	0.49
3.080	17691	0.47
3.082	17904	0.47
3.083	18422	0.48
3.085	17379	0.46
3.087	15199	0.40
3.088	14110	0.37
3.090	14512	0.38
3.092	14754	0.39
3.093	14419	0.38
3.095	14359	0.38
3.097	15655	0.41
3.098	16979	0.45
3.100	16542	0.44
3.102	15119	0.40
3.103	13948	0.37
3.105	14127	0.37
3.107	12961	0.34
3.108	12140	0.32
3.110	13656	0.36
3.112	13296	0.35
3.113	11986	0.32
3.115	12198	0.32
3.117	11847	0.31
3.118	11333	0.30
3.120	12188	0.32
3.122	13673	0.36
3.123	15141	0.40
3.125	16144	0.42
3.127	16378	0.43
3.128	17962	0.47
3.130	18800	0.49
3.132	17221	0.45
3.133	16962	0.45
3.135	18120	0.48
3.137	18651	0.49
3.138	19225	0.51
3.140	19554	0.51
3.142	20270	0.53
3.143	21802	0.57
3.145	22896	0.60
3.147	23206	0.61
3.148	23916	0.63
3.150	25047	0.66
3.152	26812	0.71
3.153	29516	0.78
3.155	30441	0.80
3.157	28770	0.76
3.158	27087	0.71
3.160	27444	0.72
3.162	28110	0.74
3.163	26120	0.69
3.165	22148	0.58
3.167	19951	0.52
3.168	19091	0.50
3.170	19171	0.50
3.172	19492	0.51
3.173	19103	0.50
3.175	18265	0.48
3.177	17919	0.47
3.178	17256	0.45
3.180	15998	0.42
3.182	15330	0.40
3.183	15323	0.40
3.185	15308	0.40
3.187	15667	0.41
3.188	15212	0.40
3.190	14549	0.38
3.192	15162	0.40
3.193	16032	0.42
3.195	16371	0.43
3.197	15481	0.41
3.198	14036	0.37
3.200	14677	0.39
3.202	16762	0.44
3.203	16723	0.44
3.205	15689	0.41
3.207	15407	0.41
3.208	15773	0.41
3.210	17171	0.45
3.212	17942	0.47
3.213	17720	0.47
3.215	17509	0.46
3.217	17119	0.45
3.218	17000	0.45
3.220	17977	0.47
3.222	17845	0.47
3.223	16175	0.43
3.225	16454	0.43
3.227	16792	0.44
3.228	15317	0.40
3.230	14251	0.37
3.232	14377	0.38
3.233	14819	0.39
3.235	14390	0.38
3.237	14224	0.37
3.238	15568	0.41
3.240	17720	0.47
3.242	19753	0.52
3.243	20064	0.53
3.245	18477	0.49
3.247	17129	0.45
3.248	16636	0.44
3.250	16282	0.43
3.252	16647	0.44
3.253	16965	0.45
3.255	16605	0.44
3.257	15626	0.41
3.258	15133	0.40
3.260	15717	0.41
3.262	17086	0.45
3.263	17837	0.47
3.265	16953	0.45
3.267	16244	0.43
3.268	17179	0.45
3.270	18543	0.49
3.272	18478	0.49
3.273	16848	0.44
3.275	15283	0.40
3.277	15227	0.40
3.278	16161	0.43
3.280	17778	0.47
3.282	17668	0.46
3.283	17070	0.45
3.285	17625	0.46
3.287	18926	0.50
3.288	19579	0.51
3.290	19433	0.51
3.292	20281	0.53
3.293	19340	0.51
3.295	18234	0.48
3.297	18611	0.49
3.298	19151	0.50
3.300	19635	0.52
3.302	21878	0.58
3.303	22119	0.58
3.305	20106	0.53
3.307	18774	0.49
3.308	20155	0.53
3.310	22477	0.59
3.312	23954	0.63
3.313	26036	0.68
3.315	30957	0.81
3.317	38916	1.02
3.318	48813	1.28
3.320	58654	1.54
3.322	68622	1.80
3.323	76829	2.02
3.325	79305	2.09
3.327	79271	2.08
3.328	78794	2.07
3.330	70772	1.86
3.332	59505	1.57
3.333	50768	1.34
3.335	42051	1.11
3.337	33642	0.88
3.338	27547	0.72
3.340	23064	0.61
3.342	19278	0.51
3.343	16775	0.44
3.345	16203	0.43
3.347	16436	0.43
3.348	15394	0.40
3.350	13942	0.37
3.352	13609	0.36
3.353	13455	0.35
3.355	13291	0.35
3.357	14196	0.37
3.358	16025	0.42
3.360	17385	0.46
3.362	17894	0.47
3.363	20279	0.53
3.365	24499	0.64
3.367	27246	0.72
3.368	29227	0.77
3.370	30641	0.81
3.372	30209	0.79
3.373	30047	0.79
3.375	31647	0.83
3.377	32682	0.86
3.378	32568	0.86
3.380	32481	0.85
3.382	31402	0.83
3.383	29909	0.79
3.385	28069	0.74
3.387	25624	0.67
3.388	24664	0.65
3.390	24875	0.65
3.392	22604	0.59
3.393	20627	0.54
3.395	20224	0.53
3.397	19555	0.51
3.398	18496	0.49
3.400	19675	0.52
3.402	20827	0.55
3.403	18975	0.50
3.405	15764	0.41
3.407	12280	0.32
3.408	10196	0.27
3.410	9384	0.25
3.412	8775	0.23
3.413	9566	0.25
3.415	10106	0.27
3.417	10731	0.28
3.418	11995	0.32
3.420	12130	0.32
3.422	11399	0.30
3.423	11017	0.29
3.425	11649	0.31
3.427	12546	0.33
3.428	11687	0.31
3.430	10713	0.28
3.432	10254	0.27
3.433	8834	0.23
3.435	8032	0.21
3.437	9112	0.24
3.438	10464	0.28
3.440	9566	0.25
3.442	8554	0.22
3.443	9973	0.26
3.445	10864	0.29
3.447	10057	0.26
3.448	10160	0.27
3.450	11386	0.30
3.452	12102	0.32
3.453	13775	0.36
3.455	15183	0.40
3.457	14184	0.37
3.458	12831	0.34
3.460	11754	0.31
3.462	10905	0.29
3.463	11141	0.29
3.465	11373	0.30
3.467	11836	0.31
3.468	12358	0.33
3.470	11837	0.31
3.472	12171	0.32
3.473	13122	0.35
3.475	12851	0.34
3.477	12396	0.33
3.478	12014	0.32
3.480	12138	0.32
3.482	12783	0.34
3.483	13633	0.36
3.485	14772	0.39
3.487	14608	0.38
3.488	14495	0.38
3.490	14794	0.39
3.492	14584	0.38
3.493	15096	0.40
3.495	15829	0.42
3.497	15007	0.39
3.498	14050	0.37
3.500	14786	0.39
3.502	14812	0.39
3.503	13438	0.35
3.505	12557	0.33
