[Header]
Data File Name	E:\10.10.2022_2022-10-10 Wucherung 1h 50ml$min_01.qgd
Output Date	10.10.2022
Output Time	14:22:58

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	100
# of Points	7032
Start Time(min)	2.000
End Time(min)	13.718
Ret.Time	Absolute Intensity	Relative Intensity
4.023	13060	0.34
4.025	12050	0.32
4.027	10725	0.28
4.028	10934	0.29
4.030	11366	0.30
4.032	10777	0.28
4.033	10520	0.28
4.035	9689	0.25
4.037	8750	0.23
4.038	9471	0.25
4.040	10176	0.27
4.042	10347	0.27
4.043	10302	0.27
4.045	9497	0.25
4.047	8804	0.23
4.048	9089	0.24
4.050	9896	0.26
4.052	10587	0.28
4.053	11176	0.29
4.055	12032	0.32
4.057	12375	0.33
4.058	11844	0.31
4.060	11769	0.31
4.062	12386	0.33
4.063	12423	0.33
4.065	13015	0.34
4.067	14247	0.37
4.068	13690	0.36
4.070	13307	0.35
4.072	14300	0.38
4.073	14989	0.39
4.075	14350	0.38
4.077	13250	0.35
4.078	12632	0.33
4.080	12278	0.32
4.082	12054	0.32
4.083	11393	0.30
4.085	11230	0.30
4.087	12673	0.33
4.088	13380	0.35
4.090	12769	0.34
4.092	12640	0.33
4.093	13574	0.36
4.095	14488	0.38
4.097	14496	0.38
4.098	15085	0.40
4.100	15106	0.40
4.102	13749	0.36
4.103	13730	0.36
4.105	15466	0.41
4.107	16224	0.43
4.108	15059	0.40
4.110	14281	0.38
4.112	13382	0.35
4.113	11905	0.31
4.115	12531	0.33
4.117	14427	0.38
4.118	15309	0.40
4.120	15719	0.41
4.122	15647	0.41
4.123	16550	0.44
4.125	17512	0.46
4.127	17677	0.46
4.128	17428	0.46
4.130	18825	0.50
4.132	19666	0.52
4.133	19259	0.51
4.135	18676	0.49
4.137	18639	0.49
4.138	19069	0.50
4.140	19849	0.52
4.142	19404	0.51
4.143	18005	0.47
4.145	16374	0.43
4.147	14663	0.39
4.148	14816	0.39
4.150	15690	0.41
4.152	15747	0.41
4.153	15645	0.41
4.155	15026	0.40
4.157	14576	0.38
4.158	15043	0.40
4.160	15611	0.41
4.162	15498	0.41
4.163	14912	0.39
4.165	14415	0.38
4.167	14061	0.37
4.168	14070	0.37
4.170	14843	0.39
4.172	15261	0.40
4.173	14892	0.39
4.175	14924	0.39
4.177	15382	0.40
4.178	15933	0.42
4.180	16081	0.42
4.182	15237	0.40
4.183	14846	0.39
4.185	16141	0.42
4.187	16716	0.44
4.188	14921	0.39
4.190	13954	0.37
4.192	14345	0.38
4.193	15014	0.39
4.195	15582	0.41
4.197	15162	0.40
4.198	14808	0.39
4.200	15230	0.40
4.202	15195	0.40
4.203	14520	0.38
4.205	14002	0.37
4.207	13539	0.36
4.208	13048	0.34
4.210	13140	0.35
4.212	14583	0.38
4.213	16100	0.42
4.215	17418	0.46
4.217	18197	0.48
4.218	19313	0.51
4.220	20652	0.54
4.222	21069	0.55
4.223	20839	0.55
4.225	19936	0.52
4.227	21254	0.56
4.228	22099	0.58
4.230	20329	0.53
4.232	19131	0.50
4.233	18990	0.50
4.235	17777	0.47
4.237	17515	0.46
4.238	16533	0.43
4.240	14984	0.39
4.242	14950	0.39
4.243	16566	0.44
4.245	17702	0.47
4.247	17556	0.46
4.248	15966	0.42
4.250	15176	0.40
4.252	15933	0.42
4.253	16482	0.43
4.255	15741	0.41
4.257	14405	0.38
4.258	12711	0.33
4.260	11678	0.31
4.262	12415	0.33
4.263	13332	0.35
4.265	13506	0.36
4.267	14916	0.39
4.268	15970	0.42
4.270	15230	0.40
4.272	14588	0.38
4.273	14238	0.37
4.275	14927	0.39
4.277	15444	0.41
4.278	14668	0.39
4.280	15506	0.41
4.282	17238	0.45
4.283	16232	0.43
4.285	15210	0.40
4.287	15475	0.41
4.288	14992	0.39
4.290	14788	0.39
4.292	13864	0.36
4.293	13250	0.35
4.295	14666	0.39
4.297	15021	0.40
4.298	13902	0.37
4.300	12947	0.34
4.302	13112	0.34
4.303	14927	0.39
4.305	16668	0.44
4.307	15884	0.42
4.308	14437	0.38
4.310	14650	0.39
4.312	14886	0.39
4.313	14281	0.38
4.315	13324	0.35
4.317	12826	0.34
4.318	14571	0.38
4.320	16255	0.43
4.322	15095	0.40
4.323	12917	0.34
4.325	12472	0.33
4.327	13810	0.36
4.328	14525	0.38
4.330	14038	0.37
4.332	13323	0.35
4.333	12915	0.34
4.335	13123	0.35
4.337	13446	0.35
4.338	14382	0.38
4.340	14656	0.39
4.342	13414	0.35
4.343	12782	0.34
4.345	13569	0.36
4.347	14222	0.37
4.348	13670	0.36
4.350	12328	0.32
4.352	12193	0.32
4.353	13083	0.34
4.355	13348	0.35
4.357	13358	0.35
4.358	14294	0.38
4.360	14794	0.39
4.362	13808	0.36
4.363	13830	0.36
4.365	14674	0.39
4.367	14522	0.38
4.368	14279	0.38
4.370	13957	0.37
4.372	12340	0.32
4.373	10762	0.28
4.375	10885	0.29
4.377	12240	0.32
4.378	13197	0.35
4.380	12527	0.33
4.382	11789	0.31
4.383	12573	0.33
4.385	13679	0.36
4.387	14042	0.37
4.388	13912	0.37
4.390	13375	0.35
4.392	12651	0.33
4.393	13209	0.35
4.395	14417	0.38
4.397	14675	0.39
4.398	13829	0.36
4.400	13325	0.35
4.402	14957	0.39
4.403	17428	0.46
4.405	17663	0.46
4.407	19083	0.50
4.408	22814	0.60
4.410	27400	0.72
4.412	33611	0.88
4.413	41068	1.08
4.415	47576	1.25
4.417	55032	1.45
4.418	61924	1.63
4.420	65232	1.72
4.422	65732	1.73
4.423	63791	1.68
4.425	61782	1.62
4.427	58076	1.53
4.428	51674	1.36
4.430	45440	1.20
4.432	40298	1.06
4.433	35990	0.95
4.435	31678	0.83
4.437	26562	0.70
4.438	22434	0.59
4.440	20258	0.53
4.442	19041	0.50
4.443	16795	0.44
4.445	13740	0.36
4.447	12973	0.34
4.448	13053	0.34
4.450	13033	0.34
4.452	12995	0.34
4.453	13488	0.35
4.455	13248	0.35
4.457	11327	0.30
4.458	10648	0.28
4.460	11564	0.30
4.462	12113	0.32
4.463	12390	0.33
4.465	12704	0.33
4.467	12875	0.34
4.468	12491	0.33
4.470	11331	0.30
4.472	11463	0.30
4.473	11791	0.31
4.475	10515	0.28
4.477	10274	0.27
4.478	10604	0.28
4.480	10431	0.27
4.482	10809	0.28
4.483	10130	0.27
4.485	8575	0.23
4.487	8402	0.22
4.488	9333	0.25
4.490	10466	0.28
4.492	11249	0.30
4.493	11498	0.30
4.495	11296	0.30
4.497	10577	0.28
4.498	10068	0.26
4.500	9760	0.26
4.502	10297	0.27
4.503	11060	0.29
4.505	11558	0.30
4.507	12670	0.33
4.508	12990	0.34
4.510	13623	0.36
4.512	15776	0.41
4.513	18172	0.48
4.515	20053	0.53
4.517	23214	0.61
4.518	27929	0.73
4.520	31922	0.84
4.522	34096	0.90
4.523	36789	0.97
4.525	40138	1.06
4.527	41779	1.10
4.528	41034	1.08
4.530	38005	1.00
4.532	35366	0.93
4.533	33402	0.88
4.535	31888	0.84
4.537	29992	0.79
4.538	27755	0.73
4.540	26778	0.70
4.542	26931	0.71
4.543	26650	0.70
4.545	24574	0.65
4.547	21170	0.56
4.548	19674	0.52
4.550	19589	0.52
4.552	17411	0.46
4.553	15266	0.40
4.555	15227	0.40
4.557	15600	0.41
4.558	15758	0.41
4.560	14798	0.39
4.562	13528	0.36
4.563	13464	0.35
4.565	12931	0.34
4.567	12267	0.32
4.568	13063	0.34
4.570	12911	0.34
4.572	13379	0.35
4.573	14485	0.38
4.575	13888	0.37
4.577	13285	0.35
4.578	14032	0.37
4.580	15161	0.40
4.582	15050	0.40
4.583	14154	0.37
4.585	13659	0.36
4.587	13680	0.36
4.588	14134	0.37
4.590	13485	0.35
4.592	12675	0.33
4.593	13187	0.35
4.595	14395	0.38
4.597	13783	0.36
4.598	11723	0.31
4.600	12362	0.33
4.602	13909	0.37
4.603	12906	0.34
4.605	12109	0.32
4.607	11907	0.31
4.608	11138	0.29
4.610	10797	0.28
4.612	10943	0.29
4.613	11744	0.31
4.615	12817	0.34
4.617	13486	0.35
4.618	13811	0.36
4.620	13395	0.35
4.622	12452	0.33
4.623	12351	0.32
4.625	12908	0.34
4.627	13259	0.35
4.628	12990	0.34
4.630	12747	0.34
4.632	11971	0.31
4.633	11422	0.30
4.635	13748	0.36
4.637	15040	0.40
4.638	14141	0.37
4.640	14084	0.37
4.642	14202	0.37
4.643	15230	0.40
4.645	15411	0.41
4.647	15563	0.41
4.648	14977	0.39
4.650	14058	0.37
4.652	14176	0.37
4.653	16024	0.42
4.655	18565	0.49
4.657	21932	0.58
4.658	25079	0.66
4.660	26482	0.70
4.662	26436	0.70
4.663	25487	0.67
4.665	23472	0.62
4.667	21375	0.56
4.668	20355	0.54
4.670	18982	0.50
4.672	17298	0.45
4.673	17085	0.45
4.675	16532	0.43
4.677	14269	0.38
4.678	11525	0.30
4.680	10423	0.27
4.682	11315	0.30
4.683	11969	0.31
4.685	12281	0.32
4.687	11365	0.30
4.688	10036	0.26
4.690	9573	0.25
4.692	9824	0.26
4.693	9818	0.26
4.695	9460	0.25
4.697	9270	0.24
4.698	9366	0.25
4.700	9702	0.26
4.702	9341	0.25
4.703	9915	0.26
4.705	12241	0.32
4.707	14041	0.37
4.708	15744	0.41
4.710	17947	0.47
4.712	18759	0.49
4.713	19671	0.52
4.715	20845	0.55
4.717	20904	0.55
4.718	20040	0.53
4.720	18756	0.49
4.722	17863	0.47
4.723	16797	0.44
4.725	15314	0.40
4.727	14954	0.39
4.728	16110	0.42
4.730	14721	0.39
4.732	13114	0.34
4.733	12964	0.34
4.735	13641	0.36
4.737	12666	0.33
4.738	11713	0.31
4.740	11380	0.30
4.742	12334	0.32
4.743	15304	0.40
4.745	15747	0.41
4.747	14049	0.37
4.748	13935	0.37
4.750	13982	0.37
4.752	12300	0.32
4.753	11397	0.30
4.755	13022	0.34
4.757	12725	0.33
4.758	11307	0.30
4.760	11800	0.31
4.762	13793	0.36
4.763	14080	0.37
4.765	14922	0.39
4.767	19113	0.50
4.768	26926	0.71
4.770	37313	0.98
4.772	48852	1.28
4.773	61401	1.61
4.775	75655	1.99
4.777	91317	2.40
4.778	106086	2.79
4.780	119380	3.14
4.782	126089	3.32
4.783	125382	3.30
4.785	121067	3.18
4.787	111195	2.92
4.788	96100	2.53
4.790	82403	2.17
4.792	70265	1.85
4.793	58032	1.53
4.795	48341	1.27
4.797	39611	1.04
4.798	31792	0.84
4.800	28287	0.74
4.802	27867	0.73
4.803	27713	0.73
4.805	28531	0.75
4.807	29662	0.78
4.808	29307	0.77
4.810	27744	0.73
4.812	26138	0.69
4.813	23440	0.62
4.815	20817	0.55
4.817	19684	0.52
4.818	18407	0.48
4.820	16115	0.42
4.822	14888	0.39
4.823	15658	0.41
4.825	16665	0.44
4.827	15408	0.41
4.828	14744	0.39
4.830	17370	0.46
4.832	17394	0.46
4.833	16817	0.44
4.835	19405	0.51
4.837	21846	0.57
4.838	24349	0.64
4.840	26674	0.70
4.842	27751	0.73
4.843	29451	0.77
4.845	32767	0.86
4.847	34470	0.91
4.848	33770	0.89
4.850	33171	0.87
4.852	31685	0.83
4.853	30105	0.79
4.855	28941	0.76
4.857	26718	0.70
4.858	25129	0.66
4.860	24572	0.65
4.862	23943	0.63
4.863	22964	0.60
4.865	22561	0.59
4.867	22749	0.60
4.868	20764	0.55
4.870	18922	0.50
4.872	17782	0.47
4.873	15879	0.42
4.875	14525	0.38
4.877	14200	0.37
4.878	14237	0.37
4.880	13302	0.35
4.882	12943	0.34
4.883	13116	0.34
4.885	12075	0.32
4.887	11669	0.31
4.888	13154	0.35
4.890	14418	0.38
4.892	13671	0.36
4.893	12212	0.32
4.895	11536	0.30
4.897	11644	0.31
4.898	11909	0.31
4.900	11578	0.30
4.902	11475	0.30
4.903	12195	0.32
4.905	11975	0.31
4.907	10283	0.27
4.908	10550	0.28
4.910	11707	0.31
4.912	11150	0.29
4.913	10304	0.27
4.915	10175	0.27
4.917	10718	0.28
4.918	10488	0.28
4.920	9737	0.26
4.922	9768	0.26
4.923	9541	0.25
4.925	10050	0.26
4.927	10852	0.29
4.928	9999	0.26
4.930	9142	0.24
4.932	9517	0.25
4.933	11425	0.30
4.935	13495	0.35
4.937	14532	0.38
4.938	14090	0.37
4.940	12065	0.32
4.942	11300	0.30
4.943	12047	0.32
4.945	11653	0.31
4.947	10614	0.28
4.948	10342	0.27
4.950	11312	0.30
4.952	12861	0.34
4.953	14078	0.37
4.955	16884	0.44
4.957	20349	0.54
4.958	23088	0.61
4.960	24207	0.64
4.962	22815	0.60
4.963	21660	0.57
4.965	22435	0.59
4.967	22876	0.60
4.968	22361	0.59
4.970	21019	0.55
4.972	20026	0.53
4.973	20426	0.54
4.975	19761	0.52
4.977	19816	0.52
4.978	21508	0.57
4.980	20641	0.54
4.982	19117	0.50
4.983	18767	0.49
4.985	18624	0.49
4.987	17811	0.47
4.988	17301	0.46
4.990	17136	0.45
4.992	16872	0.44
4.993	16954	0.45
4.995	17044	0.45
4.997	16922	0.45
4.998	16375	0.43
5.000	14992	0.39
5.002	14229	0.37
5.003	14950	0.39
5.005	15632	0.41
5.007	15698	0.41
5.008	15638	0.41
5.010	14471	0.38
5.012	13289	0.35
5.013	13787	0.36
5.015	14173	0.37
5.017	13603	0.36
5.018	13474	0.35
5.020	13024	0.34
5.022	12646	0.33
5.023	12823	0.34
5.025	12680	0.33
5.027	12696	0.33
5.028	13433	0.35
5.030	13656	0.36
5.032	13363	0.35
5.033	13791	0.36
5.035	14062	0.37
5.037	13834	0.36
5.038	13275	0.35
5.040	13276	0.35
5.042	13075	0.34
5.043	11957	0.31
5.045	13280	0.35
5.047	13634	0.36
5.048	13523	0.36
5.050	14448	0.38
5.052	14662	0.39
5.053	14144	0.37
5.055	13770	0.36
5.057	13847	0.36
5.058	13619	0.36
5.060	13505	0.36
5.062	13941	0.37
5.063	13322	0.35
5.065	12755	0.34
5.067	12428	0.33
5.068	12368	0.33
5.070	12687	0.33
5.072	11815	0.31
5.073	10884	0.29
5.075	11132	0.29
5.077	11250	0.30
5.078	11367	0.30
5.080	11824	0.31
5.082	11812	0.31
5.083	9754	0.26
5.085	8239	0.22
5.087	9781	0.26
5.088	11250	0.30
5.090	11181	0.29
5.092	12009	0.32
5.093	12876	0.34
5.095	12623	0.33
5.097	13276	0.35
5.098	14590	0.38
5.100	14630	0.38
5.102	13489	0.35
5.103	12100	0.32
5.105	12032	0.32
5.107	13284	0.35
5.108	13981	0.37
5.110	13498	0.36
5.112	12337	0.32
5.113	11330	0.30
5.115	10458	0.28
5.117	9607	0.25
5.118	10345	0.27
5.120	11041	0.29
5.122	10520	0.28
5.123	10785	0.28
5.125	12016	0.32
5.127	13416	0.35
5.128	14597	0.38
5.130	14601	0.38
5.132	12419	0.33
5.133	9767	0.26
5.135	9660	0.25
5.137	11801	0.31
5.138	12656	0.33
5.140	11223	0.30
5.142	10497	0.28
5.143	11810	0.31
5.145	12940	0.34
5.147	13211	0.35
5.148	12877	0.34
5.150	12873	0.34
5.152	14128	0.37
5.153	14687	0.39
5.155	14599	0.38
5.157	15900	0.42
5.158	18005	0.47
5.160	19183	0.50
5.162	19448	0.51
5.163	21864	0.58
5.165	24347	0.64
5.167	24788	0.65
5.168	24909	0.66
5.170	24971	0.66
5.172	24892	0.65
5.173	24316	0.64
5.175	22938	0.60
5.177	21842	0.57
5.178	20703	0.54
5.180	18907	0.50
5.182	17264	0.45
5.183	16170	0.43
5.185	14514	0.38
5.187	13561	0.36
5.188	13955	0.37
5.190	14601	0.38
5.192	14562	0.38
5.193	14259	0.38
5.195	13888	0.37
5.197	13033	0.34
5.198	12982	0.34
5.200	14596	0.38
5.202	15760	0.41
5.203	16386	0.43
5.205	17028	0.45
5.207	16461	0.43
5.208	16019	0.42
5.210	16501	0.43
5.212	16562	0.44
5.213	16708	0.44
5.215	16719	0.44
5.217	16681	0.44
5.218	16712	0.44
5.220	16012	0.42
5.222	15389	0.40
5.223	15637	0.41
5.225	15341	0.40
5.227	15024	0.40
5.228	15024	0.40
5.230	15057	0.40
5.232	16002	0.42
5.233	16397	0.43
5.235	15752	0.41
5.237	15078	0.40
5.238	14337	0.38
5.240	14260	0.38
5.242	14902	0.39
5.243	14682	0.39
5.245	13736	0.36
5.247	14222	0.37
5.248	14097	0.37
5.250	12023	0.32
5.252	12091	0.32
5.253	14042	0.37
5.255	14015	0.37
5.257	13080	0.34
5.258	14040	0.37
5.260	15020	0.40
5.262	13594	0.36
5.263	13783	0.36
5.265	14201	0.37
5.267	13208	0.35
5.268	12929	0.34
5.270	12878	0.34
5.272	13058	0.34
5.273	13287	0.35
5.275	13070	0.34
5.277	13692	0.36
5.278	14817	0.39
5.280	15797	0.42
5.282	15933	0.42
5.283	15576	0.41
5.285	15825	0.42
5.287	15202	0.40
5.288	14087	0.37
5.290	14682	0.39
5.292	16443	0.43
5.293	17421	0.46
5.295	17311	0.46
5.297	16126	0.42
5.298	15294	0.40
5.300	16130	0.42
5.302	15885	0.42
5.303	14123	0.37
5.305	13582	0.36
5.307	14629	0.38
5.308	15504	0.41
5.310	16272	0.43
5.312	17778	0.47
5.313	21753	0.57
5.315	30209	0.79
5.317	45466	1.20
5.318	68862	1.81
5.320	102078	2.68
5.322	145333	3.82
5.323	196375	5.16
5.325	249142	6.55
5.327	297514	7.82
5.328	340413	8.95
5.330	368612	9.69
5.332	374377	9.85
5.333	366661	9.64
5.335	344937	9.07
5.337	310618	8.17
5.338	271630	7.14
5.340	232262	6.11
5.342	195333	5.14
5.343	160066	4.21
5.345	129234	3.40
5.347	104889	2.76
5.348	87617	2.30
5.350	73837	1.94
5.352	64482	1.70
5.353	58423	1.54
5.355	53213	1.40
5.357	47088	1.24
5.358	43239	1.14
5.360	41790	1.10
5.362	39601	1.04
5.363	36569	0.96
5.365	34066	0.90
5.367	32599	0.86
5.368	32982	0.87
5.370	32715	0.86
5.372	30951	0.81
5.373	30765	0.81
5.375	31239	0.82
5.377	31646	0.83
5.378	32541	0.86
5.380	33265	0.87
5.382	32194	0.85
5.383	31127	0.82
5.385	31669	0.83
5.387	31753	0.84
5.388	29170	0.77
5.390	25780	0.68
5.392	23312	0.61
5.393	23198	0.61
5.395	24211	0.64
5.397	22975	0.60
5.398	21265	0.56
5.400	21575	0.57
5.402	22473	0.59
5.403	22116	0.58
5.405	21574	0.57
5.407	20380	0.54
5.408	20353	0.54
5.410	20392	0.54
5.412	20266	0.53
5.413	22294	0.59
5.415	22055	0.58
5.417	20835	0.55
5.418	21853	0.57
5.420	22372	0.59
5.422	21210	0.56
5.423	22450	0.59
5.425	24673	0.65
5.427	24959	0.66
5.428	22855	0.60
5.430	20943	0.55
5.432	19490	0.51
5.433	17755	0.47
5.435	17171	0.45
5.437	16885	0.44
5.438	16892	0.44
5.440	18150	0.48
5.442	18174	0.48
5.443	17123	0.45
5.445	16620	0.44
5.447	16104	0.42
5.448	15980	0.42
5.450	16252	0.43
5.452	17158	0.45
5.453	18396	0.48
5.455	20490	0.54
5.457	22113	0.58
5.458	21908	0.58
5.460	22300	0.59
5.462	23730	0.62
5.463	23924	0.63
5.465	24698	0.65
5.467	25377	0.67
5.468	24621	0.65
5.470	24058	0.63
5.472	24006	0.63
5.473	23952	0.63
5.475	22931	0.60
5.477	20241	0.53
5.478	17873	0.47
5.480	16227	0.43
5.482	15908	0.42
5.483	16888	0.44
5.485	17069	0.45
5.487	16750	0.44
5.488	15747	0.41
5.490	14633	0.38
5.492	15173	0.40
5.493	16541	0.44
5.495	16976	0.45
5.497	17149	0.45
5.498	17930	0.47
5.500	17711	0.47
5.502	16884	0.44
5.503	17625	0.46
5.505	18143	0.48
5.507	17546	0.46
5.508	17799	0.47
5.510	19195	0.50
5.512	21987	0.58
5.513	22819	0.60
5.515	25010	0.66
5.517	28843	0.76
5.518	31012	0.82
5.520	32013	0.84
5.522	32111	0.84
5.523	33183	0.87
5.525	36067	0.95
5.527	37322	0.98
5.528	36936	0.97
5.530	35528	0.93
5.532	33876	0.89
5.533	33204	0.87
5.535	30466	0.80
5.537	27869	0.73
5.538	26439	0.70
5.540	25700	0.68
5.542	25164	0.66
5.543	23486	0.62
5.545	21267	0.56
5.547	19059	0.50
5.548	18169	0.48
5.550	19705	0.52
5.552	20010	0.53
5.553	18474	0.49
5.555	18373	0.48
5.557	18822	0.50
5.558	18389	0.48
5.560	18670	0.49
5.562	19787	0.52
5.563	20013	0.53
5.565	19251	0.51
5.567	19249	0.51
5.568	19214	0.51
5.570	17722	0.47
5.572	17128	0.45
5.573	16467	0.43
5.575	15750	0.41
5.577	16729	0.44
5.578	17363	0.46
5.580	17664	0.46
5.582	19270	0.51
5.583	21689	0.57
5.585	24172	0.64
5.587	27092	0.71
5.588	33187	0.87
5.590	41612	1.09
5.592	52390	1.38
5.593	65818	1.73
5.595	78939	2.08
5.597	92129	2.42
5.598	106332	2.80
5.600	119597	3.15
5.602	129253	3.40
5.603	134020	3.52
5.605	132352	3.48
5.607	124033	3.26
5.608	112894	2.97
5.610	103903	2.73
5.612	94829	2.49
5.613	82699	2.18
5.615	70265	1.85
5.617	61693	1.62
5.618	55016	1.45
5.620	49458	1.30
5.622	43330	1.14
5.623	37164	0.98
5.625	34037	0.90
5.627	31798	0.84
5.628	30805	0.81
5.630	29757	0.78
5.632	27958	0.74
5.633	27684	0.73
5.635	28028	0.74
5.637	27400	0.72
5.638	27123	0.71
5.640	26649	0.70
5.642	24917	0.66
5.643	23722	0.62
5.645	25303	0.67
5.647	26744	0.70
5.648	25451	0.67
5.650	22780	0.60
5.652	21276	0.56
5.653	20797	0.55
5.655	20199	0.53
5.657	21482	0.57
5.658	22423	0.59
5.660	20661	0.54
5.662	19884	0.52
5.663	20394	0.54
5.665	19561	0.51
5.667	19010	0.50
5.668	19308	0.51
5.670	18584	0.49
5.672	17790	0.47
5.673	18705	0.49
5.675	19415	0.51
5.677	17408	0.46
5.678	17360	0.46
5.680	18401	0.48
5.682	18145	0.48
5.683	18507	0.49
5.685	19233	0.51
5.687	19629	0.52
5.688	20575	0.54
5.690	20896	0.55
5.692	21898	0.58
5.693	21632	0.57
5.695	22353	0.59
5.697	23251	0.61
5.698	24409	0.64
5.700	25112	0.66
5.702	24816	0.65
5.703	23961	0.63
5.705	22290	0.59
5.707	22297	0.59
5.708	22381	0.59
5.710	20213	0.53
5.712	17813	0.47
5.713	17596	0.46
5.715	18704	0.49
5.717	19939	0.52
5.718	20614	0.54
5.720	19317	0.51
5.722	16475	0.43
5.723	16011	0.42
5.725	17289	0.45
5.727	17799	0.47
5.728	18239	0.48
5.730	18024	0.47
5.732	18105	0.48
5.733	18146	0.48
5.735	16951	0.45
5.737	16638	0.44
5.738	16964	0.45
5.740	16185	0.43
5.742	15620	0.41
5.743	17068	0.45
5.745	17218	0.45
5.747	16368	0.43
5.748	16496	0.43
5.750	16923	0.45
5.752	16405	0.43
5.753	16018	0.42
5.755	16078	0.42
5.757	16359	0.43
5.758	16203	0.43
5.760	15303	0.40
5.762	14593	0.38
5.763	14043	0.37
5.765	13406	0.35
5.767	14131	0.37
5.768	15732	0.41
5.770	16670	0.44
5.772	15431	0.41
5.773	16526	0.43
5.775	18735	0.49
5.777	23019	0.61
5.778	29190	0.77
5.780	37088	0.98
5.782	46230	1.22
5.783	54682	1.44
5.785	66558	1.75
5.787	81795	2.15
5.788	94581	2.49
5.790	102964	2.71
5.792	105190	2.77
5.793	100780	2.65
5.795	94318	2.48
5.797	84415	2.22
5.798	72552	1.91
5.800	60643	1.59
5.802	48911	1.29
5.803	37944	1.00
5.805	30645	0.81
5.807	26739	0.70
5.808	23627	0.62
5.810	21969	0.58
5.812	23027	0.61
5.813	25366	0.67
5.815	26514	0.70
5.817	28150	0.74
5.818	31198	0.82
5.820	33270	0.88
5.822	33968	0.89
5.823	33464	0.88
5.825	31751	0.84
5.827	30254	0.80
5.828	29847	0.79
5.830	29624	0.78
5.832	27932	0.73
5.833	25446	0.67
5.835	22605	0.59
5.837	20924	0.55
5.838	21967	0.58
5.840	24600	0.65
5.842	26264	0.69
5.843	25719	0.68
5.845	25378	0.67
5.847	28171	0.74
5.848	31634	0.83
5.850	35537	0.93
5.852	37685	0.99
5.853	38943	1.02
5.855	39771	1.05
5.857	39699	1.04
5.858	37579	0.99
5.860	36141	0.95
5.862	33781	0.89
5.863	31227	0.82
5.865	28351	0.75
5.867	25584	0.67
5.868	22767	0.60
5.870	20556	0.54
5.872	20523	0.54
5.873	21207	0.56
5.875	19734	0.52
5.877	17118	0.45
5.878	16205	0.43
5.880	16513	0.43
5.882	16225	0.43
5.883	17084	0.45
5.885	18113	0.48
5.887	17203	0.45
5.888	16448	0.43
5.890	16397	0.43
5.892	16326	0.43
5.893	17119	0.45
5.895	18537	0.49
5.897	20021	0.53
5.898	21302	0.56
5.900	22227	0.58
5.902	23346	0.61
5.903	25638	0.67
5.905	28789	0.76
5.907	31536	0.83
5.908	33364	0.88
5.910	35196	0.93
5.912	37037	0.97
5.913	38710	1.02
5.915	40553	1.07
5.917	41756	1.10
5.918	43056	1.13
5.920	44282	1.16
5.922	41220	1.08
5.923	36583	0.96
5.925	33018	0.87
5.927	29290	0.77
5.928	25128	0.66
5.930	22523	0.59
5.932	20426	0.54
5.933	17710	0.47
5.935	16308	0.43
5.937	16843	0.44
5.938	15934	0.42
5.940	15181	0.40
5.942	14525	0.38
5.943	16114	0.42
5.945	17299	0.45
5.947	17991	0.47
5.948	19316	0.51
5.950	21898	0.58
5.952	25404	0.67
5.953	26079	0.69
5.955	24647	0.65
5.957	25424	0.67
5.958	27024	0.71
5.960	27666	0.73
5.962	27589	0.73
5.963	24634	0.65
5.965	21283	0.56
5.967	19867	0.52
5.968	18486	0.49
5.970	17260	0.45
5.972	16208	0.43
5.973	16185	0.43
5.975	17018	0.45
5.977	15968	0.42
5.978	14743	0.39
5.980	12874	0.34
5.982	11704	0.31
5.983	12020	0.32
5.985	12709	0.33
5.987	13604	0.36
5.988	15123	0.40
5.990	16857	0.44
5.992	18536	0.49
5.993	19374	0.51
5.995	20080	0.53
5.997	21593	0.57
5.998	23628	0.62
6.000	25578	0.67
6.002	26808	0.71
6.003	26745	0.70
6.005	26694	0.70
6.007	26231	0.69
6.008	24274	0.64
6.010	21643	0.57
6.012	21907	0.58
6.013	25134	0.66
6.015	28585	0.75
6.017	32220	0.85
6.018	37751	0.99
6.020	43233	1.14
6.022	47942	1.26
6.023	51371	1.35
6.025	52046	1.37
6.027	52491	1.38
6.028	52406	1.38
6.030	49528	1.30
6.032	44235	1.16
6.033	38593	1.02
6.035	34389	0.90
6.037	30669	0.81
6.038	27716	0.73
6.040	26064	0.69
6.042	25399	0.67
6.043	24936	0.66
6.045	20616	0.54
6.047	16960	0.45
6.048	17927	0.47
6.050	19474	0.51
6.052	18602	0.49
6.053	18004	0.47
6.055	18030	0.47
6.057	16621	0.44
6.058	15896	0.42
6.060	16375	0.43
6.062	17146	0.45
6.063	16688	0.44
6.065	16343	0.43
6.067	16135	0.42
6.068	15789	0.42
6.070	15913	0.42
6.072	16090	0.42
6.073	16989	0.45
6.075	17308	0.46
6.077	16268	0.43
6.078	17093	0.45
6.080	17299	0.45
6.082	16247	0.43
6.083	15370	0.40
6.085	15234	0.40
6.087	16209	0.43
6.088	16439	0.43
6.090	16111	0.42
6.092	15633	0.41
6.093	16086	0.42
6.095	15858	0.42
6.097	15121	0.40
6.098	14615	0.38
6.100	15375	0.40
6.102	16800	0.44
6.103	16809	0.44
6.105	16309	0.43
6.107	16952	0.45
6.108	17737	0.47
6.110	18130	0.48
6.112	18795	0.49
6.113	19468	0.51
6.115	18707	0.49
6.117	17454	0.46
6.118	17044	0.45
