Retention Time,LD1,LD2,LD3,LD4,LD5
2.01,1.1972172535235863e-05,-2.5385910952322684e-06,2.039801411151153e-06,-4.329581941855987e-06,1.4437281922663324e-05
2.0116666666666663,1.8952510820553002e-05,-3.6144151463142816e-06,8.93338282990425e-06,-3.1371408905575966e-06,2.4718752121140717e-05
2.013333333333333,6.209186982663489e-07,-8.320225276952219e-07,2.4316740665417486e-07,-7.589122193905531e-07,-1.7403349813194587e-06
2.0149999999999997,2.0504581074591335e-08,2.7190809617928062e-08,-1.978777961714178e-08,-1.2481332961177576e-07,-1.3727285663074806e-07
2.0166666666666666,2.490103666285983e-08,3.622761439482164e-08,2.668794747835262e-09,-4.859483720129863e-08,-2.7679900900109264e-08
2.018333333333333,2.4204265950523702e-08,3.7881030586717855e-08,4.496111807819996e-09,-3.7165761907359266e-08,-1.6632900377717212e-08
2.0199999999999996,3.858780863123204e-08,5.8551166625350256e-08,5.1601455252973806e-09,-4.1052329933058035e-08,-1.0485182681046976e-08
2.0216666666666665,6.024115336034477e-08,8.866920507599286e-08,-9.534453026736926e-10,-4.5894030004668273e-08,1.6401006844236668e-08
2.023333333333333,2.8957334200817357e-08,3.837537290757384e-08,1.4353932702033022e-09,-3.53931320926114e-08,-5.3025522652196335e-09
2.025,1.2852252387375316e-08,1.392351558172469e-08,5.800171023113661e-10,-1.60175112988779e-08,-5.391615569609128e-09
2.0266666666666664,4.717307530436519e-09,2.3551999827580433e-09,-1.316636705747561e-10,-4.605074546417774e-09,-1.965233026411513e-09
2.0283333333333333,2.124587928835602e-09,2.4566777711874673e-10,-8.457482647080284e-11,-1.5875107510056873e-09,-7.474024917392877e-10
2.03,1.410699984259286e-09,-3.07124581452748e-10,-4.719200465242273e-11,-7.096051176096421e-10,-3.965946533355287e-10
2.0316666666666663,1.0908418020711743e-09,-6.343007485662179e-10,-3.672016851520465e-12,-2.5523355270847336e-10,-2.2266670051196093e-10
2.033333333333333,9.531301253987044e-10,-8.229571254949882e-10,4.265024228727216e-11,-5.002915239029024e-13,-1.1680644646123683e-10
2.0349999999999997,9.50256728270196e-10,-9.86194611914462e-10,8.035389771121906e-11,1.7337521739408003e-10,-2.5962543097759518e-11
2.0366666666666666,1.0309958572311864e-09,-1.213495939881971e-09,1.07801602084725e-10,3.07805084081276e-10,4.52934380838839e-11
