	LD1	LD2	LD3	label	name	date
0	-0.2839600856332964	-0.1569284358363208	0.26931546611213586	Pflanze	Pflanze	2022_02_14
1	-1.0099498310154473	-2.4025748620557663	-0.8080205475963355	Pflanze	Pflanze	2022_03_01
2	-2.66081859952874	4.620943048687646	-0.14458164630804618	Knolle	Knolle	2022_02_07
3	-1.2891164450056631	3.6809678320527035	-4.005811467804217	Bluete	Bluete	2022_02_21
4	0.3100372686666589	-1.3334230369544027	0.1488880331704576	Pflanze	Pflanze	2022_01_24
5	1.3501342500188815	-1.1503370795478274	-0.2888892752630782	Pflanze	Pflanze	2022_02_23
6	1.3836039697961842	0.2726255849893979	-0.874181658774361	Pflanze	Pflanze	2022_02_08
7	0.26286553346225316	0.540311200687752	2.185628632822466	Raum	Raum	2022_02_17
8	0.32202826394790557	-0.24240755272164424	-0.9544021306106135	Bluete	Bluete	2022_03_01
9	0.7919857846736134	-0.018008659634937443	3.1162528342273674	Raum	Raum	2022_02_07
10	0.2135682752277532	-1.3281162989280455	-0.32345228942730136	Pflanze	Pflanze	2022_05_09
11	5.68071386650034	-7.475728072795788	-2.0458698440142156	Erde	Erde	2022_02_02
12	-0.01456718450551587	-0.6247344448912049	-0.4917709007279539	Pflanze	Pflanze	2022_05_25
13	-1.5682806325283973	3.863520050394554	-3.601564535888753	Bluete	Bluete	2022_02_17
14	-1.0039929661033162	4.70230232806908	-2.498834203991883	Bluete	Bluete	2022_02_17
15	-1.3199667535097221	3.841835512432835	-3.864331025434609	Bluete	Bluete	2022_02_23
16	0.33422279562096535	0.6234629221150905	-0.5576389096540812	Raum	Raum	2022_01_24
17	0.906186867542567	-0.656798580634922	2.45414586405609	Raum	Raum	2022_02_14
18	1.0890393697059768	-1.1354497036909423	0.29172472376218705	Pflanze	Pflanze	2022_02_16
19	6.1012329652321995	-7.848614011270385	-3.625098214669288	Erde	Erde	2022_02_02
20	1.655838557473732	-2.967817619451648	-0.7430910521150687	Pflanze	Pflanze	2022_01_24
21	0.7513831284383533	-1.9376383244558564	1.1793319015326247	Pflanze	Pflanze	2022_05_25
22	0.44372863139631036	3.203920619667461	-1.1645176947298734	Knolle	Knolle	2022_02_16
23	-0.19648142241974423	3.554388792590951	-0.5051921278206626	Knolle	Knolle	2022_02_07
24	0.2549259048543414	-0.8172266583267789	-0.616510237024461	Pflanze	Pflanze	2022_02_07
25	0.22760010540737535	3.5882513497609905	-0.2036467303434708	Knolle	Knolle	2022_02_23
26	0.5260727290772068	0.31044053444479885	3.672220768919656	Raum	Raum	2022_03_01
27	-0.7598191074275249	1.5621310748643076	-2.9345834635500267	Bluete	Bluete	2022_02_14
28	-1.9752995174362848	3.313390225840853	0.16328378696960327	Knolle	Knolle	2022_02_08
29	0.11965480699603154	0.48245971046468367	3.5544433165276623	Raum	Raum	2022_02_18
